First_Name,Last_Name,Roll_Number,Branch,Degree,Batch,Email,Hash_of_Password,Residence,Birthday,SignUp_Date,Profile_Picture,Private,AutoAdd_to_Groups
Rakesh,Shaikh,212836559,ME,2021,212836559@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-11-24,2019-06-09 12:38:36,,false,true
Rohit,Patil,186479484,CH,2018,186479484@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-06-17,2019-10-24 01:23:12,,false,true
Santosh,Verma,199921948,EN,2019,199921948@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-11-28,2019-03-14 11:50:03,,false,true
Mukesh,Chauhan,216483849,EE,2021,216483849@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-12-26,2019-03-29 03:52:50,,false,true
Ramesh,Mishra,219368698,ME,2021,219368698@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-02-24,2019-09-05 08:55:55,,false,true
Dinesh,Sk,165886965,CSE,2016,165886965@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-05-21,2021-06-24 19:01:20,,false,true
Suresh,Sahu,174793162,EE,2017,174793162@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-05-18,2021-02-28 12:47:35,,false,true
Ashok,Alam,159908659,EN,2015,159908659@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-01-05,2019-04-14 07:50:30,,false,true
Pankaj,Choudhary,191664652,EN,2019,191664652@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-05-19,2019-01-08 21:32:51,,false,true
Manish,Rana,183280353,CH,2018,183280353@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-03-09,2020-11-17 04:34:07,,false,true
Suraj,Parmar,156652851,AE,2015,156652851@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-05-10,2019-12-29 09:03:32,,false,true
Vishal,Mondal,159018460,CSE,2015,159018460@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-12-06,2022-01-06 07:10:26,,false,true
Mahesh,Pandey,186158417,CSE,2018,186158417@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-03-24,2019-08-22 05:27:46,,false,true
Akash,Pal,206204474,CSE,2020,206204474@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-01-03,2021-03-20 04:24:15,,false,true
Sandeep,Shah,210052789,ME,2021,210052789@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-05-29,2021-08-07 18:00:21,,false,true
Mohd,Saini,154958263,EE,2015,154958263@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-01-17,2021-02-28 18:26:17,,false,true
Sachin,Ram,196487940,AE,2019,196487940@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-07-27,2020-06-03 00:59:12,,false,true
Krishna,Jain,194673599,CH,2019,194673599@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-11-16,2021-03-12 14:37:57,,false,true
Vinod,Prajapati,154931545,CSE,2015,154931545@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-12-27,2020-09-01 14:45:32,,false,true
Ram,Rathod,156383873,ME,2015,156383873@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-03-31,2020-08-10 07:31:45,,false,true
Ganesh,Tiwari,191262380,CSE,2019,191262380@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-06-11,2022-03-05 13:11:16,,false,true
Raja,Nayak,171136067,ME,2017,171136067@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-07-09,2019-07-22 06:34:11,,false,true
Arun,Soni,171362976,EE,2017,171362976@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-02-11,2021-07-16 09:37:37,,false,true
Prakash,Sarkar,180615457,ME,2018,180615457@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-05-07,2019-12-19 23:28:11,,false,true
Abhishek,Mandal,187554385,HS,2018,187554385@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-08-23,2020-06-05 22:38:03,,false,true
Kumar,Malik,194069700,HS,2019,194069700@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-07-06,2019-07-04 20:39:15,,false,true
Sagar,Meena,180016273,AE,2018,180016273@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-01-21,2020-08-10 17:55:37,,false,true
Sk,Solanki,178146682,CSE,2017,178146682@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-11-21,2022-02-22 16:06:33,,false,true
Ankit,Chaudhary,190225977,CH,2019,190225977@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-11-18,2020-04-08 14:08:27,,false,true
Chandan,Hussain,176876763,AE,2017,176876763@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-07-18,2021-01-03 15:33:37,,false,true
Shubham,Jadhav,189774473,CH,2018,189774473@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-09-29,2019-09-25 03:58:13,,false,true
Ashish,Ghosh,159708266,AE,2015,159708266@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-02-24,2019-04-16 04:43:20,,false,true
Pawan,Jha,174851400,EN,2017,174851400@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-11-02,2021-09-29 13:06:29,,false,true
Vikash,Pawar,204534945,EN,2020,204534945@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-01-06,2022-02-17 19:38:15,,false,true
Pradeep,Bhai,218311972,EN,2021,218311972@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-12-12,2019-07-09 14:29:57,,false,true
Kiran,Islam,211568733,CSE,2021,211568733@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-04-17,2019-12-10 22:42:27,,false,true
Arjun,Devi,161864056,EN,2016,161864056@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-10-07,2021-07-01 20:33:32,,false,true
Prince,Prasad,219615549,EN,2021,219615549@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-11-12,2021-09-16 00:30:11,,false,true
Aman,Raja,184499906,HS,2018,184499906@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-12-21,2022-01-23 20:09:38,,false,true
Sumit,Kashyap,217515810,HS,2021,217515810@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-16,2020-02-22 21:57:46,,false,true
Jitendra,Saha,169197483,CH,2016,169197483@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-01-15,2022-03-25 03:37:28,,false,true
Akshay,Biswas,183688609,EE,2018,183688609@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-09-13,2021-12-19 05:14:01,,false,true
Naresh,Rawat,177339399,CH,2017,177339399@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-08-05,2021-09-24 23:03:47,,false,true
Sahil,Behera,202584069,AE,2020,202584069@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-11-22,2020-11-16 02:06:22,,false,true
Suman,Pradhan,186187813,CSE,2018,186187813@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-02-04,2019-08-02 19:55:00,,false,true
Satish,Thakor,218514478,EE,2021,218514478@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-07-27,2022-01-20 12:15:36,,false,true
Vikas,Ray,170000014,EN,2017,170000014@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-01-24,2020-05-23 04:20:09,,false,true
Karan,Reddy,183482777,AE,2018,183482777@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-01-15,2020-08-12 15:11:17,,false,true
Yogesh,Sahoo,207434111,EE,2020,207434111@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-06-17,2019-02-18 21:26:00,,false,true
Gopal,Joshi,167542364,EN,2016,167542364@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-02-24,2021-07-06 06:18:26,,false,true
Abdul,Rai,215801068,EE,2021,215801068@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-02-01,2019-09-12 08:12:35,,false,true
Dilip,Babu,163103142,EN,2016,163103142@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-11-18,2022-03-06 12:27:16,,false,true
Umesh,Paul,216768876,EN,2021,216768876@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-06-08,2021-06-17 19:20:52,,false,true
Vivek,Nath,176735553,ME,2017,176735553@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-02-08,2019-06-19 20:54:53,,false,true
Anand,Naik,171860704,AE,2017,171860704@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-11-10,2021-03-21 02:10:31,,false,true
Mohan,Sinha,208734721,CSE,2020,208734721@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-10-05,2021-06-11 13:47:17,,false,true
Arvind,Jaiswal,161456684,AE,2016,161456684@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-10-08,2019-01-24 19:41:41,,false,true
Pintu,Shinde,169675408,HS,2016,169675408@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-03-19,2019-07-12 06:14:51,,false,true
Bharat,Dey,219934893,ME,2021,219934893@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-12-24,2019-02-14 18:25:49,,false,true
Prem,Dutta,176929719,EE,2017,176929719@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-06-14,2020-06-14 17:57:13,,false,true
Gaurav,Rathore,177775651,CSE,2017,177775651@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-05-21,2021-05-11 23:07:00,,false,true
Imran,Agarwal,162915702,EN,2016,162915702@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-01-06,2020-04-27 00:44:12,,false,true
Mohit,Paswan,181512430,AE,2018,181512430@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-05-19,2019-04-24 19:18:52,,false,true
Pramod,Barman,157784805,EN,2015,157784805@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-12-04,2020-09-16 06:27:21,,false,true
Sameer,Gurjar,217970425,HS,2021,217970425@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-05-10,2020-10-28 10:06:43,,false,true
Bablu,Lal,162244940,EN,2016,162244940@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-07-03,2020-10-13 08:18:25,,false,true
Aditya,Sah,158839767,CSE,2015,158839767@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-06-20,2021-06-28 17:55:59,,false,true
Patel,Kushwaha,184362237,HS,2018,184362237@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-11-07,2020-09-05 17:20:01,,false,true
Sunny,Pandit,158625553,CSE,2015,158625553@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-09-16,2019-01-20 19:46:01,,false,true
Nitin,Chouhan,157666089,HS,2015,157666089@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-12-13,2020-02-23 17:02:39,,false,true
Kamlesh,Shukla,211092892,AE,2021,211092892@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-10-01,2022-01-03 19:49:46,,false,true
Shivam,Prakash,194486586,CSE,2019,194486586@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-03-27,2020-02-12 10:29:28,,false,true
Kamal,Mehta,208701451,EN,2020,208701451@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-12-31,2021-04-29 09:56:46,,false,true
Dipak,Sen,178586213,HS,2017,178586213@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-06-16,2022-02-20 19:48:55,,false,true
Naveen,Goswami,157384337,EE,2015,157384337@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-11-09,2020-06-02 19:13:43,,false,true
Prashant,Rao,216486329,ME,2021,216486329@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-02-10,2021-02-01 13:37:02,,false,true
Jay,Pathan,219689758,CH,2021,219689758@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-04-29,2020-12-13 00:32:52,,false,true
Vikram,Raju,153378656,ME,2015,153378656@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-01-29,2020-04-20 13:52:37,,false,true
Mahendra,Chavan,200235776,ME,2020,200235776@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-10-13,2019-09-01 16:26:43,,false,true
Shankar,Dubey,177536726,CSE,2017,177536726@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-11-27,2021-01-06 14:27:17,,false,true
Nilesh,Gogoi,154968492,AE,2015,154968492@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-11-01,2021-05-02 13:47:46,,false,true
Monu,Chaudhari,153780694,ME,2015,153780694@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-07-05,2020-02-18 20:04:28,,false,true
Govind,Kamble,219037586,ME,2021,219037586@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-01-15,2021-08-11 13:22:21,,false,true
Praveen,Qureshi,168253739,AE,2016,168253739@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-01-05,2021-09-13 22:15:40,,false,true
Rajkumar,Rani,182283459,CH,2018,182283459@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-12-19,2019-05-28 12:51:23,,false,true
Babu,Maurya,171860854,EE,2017,171860854@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-08-29,2020-10-18 02:58:38,,false,true
Ajit,Gautam,214938625,EN,2021,214938625@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-08-24,2019-08-23 07:45:44,,false,true
Sandip,Vishwakarma,218661314,CH,2021,218661314@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-03-20,2019-12-03 23:04:17,,false,true
Nikhil,Bhardwaj,193603590,EN,2019,193603590@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-11-08,2021-05-10 11:48:26,,false,true
Dharmendra,Mali,174884644,EN,2017,174884644@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-05-19,2020-05-05 14:29:59,,false,true
Shiva,Gowda,160251287,AE,2016,160251287@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-11-10,2019-05-08 07:49:14,,false,true
Vinay,Panchal,181573035,EN,2018,181573035@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-09-03,2020-10-03 11:17:57,,false,true
Pappu,Sheikh,210722106,ME,2021,210722106@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-11-22,2019-07-13 03:36:23,,false,true
Ranjeet,Mahato,171675013,EN,2017,171675013@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-17,2019-04-24 07:19:36,,false,true
Harish,King,175275813,AE,2017,175275813@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-08-24,2020-06-06 09:05:16,,false,true
Salman,Mahto,167911032,ME,2016,167911032@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-12-26,2019-07-30 00:20:46,,false,true
Sanju,More,155656660,EN,2015,155656660@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-01-26,2019-09-18 09:03:18,,false,true
Kuldeep,Kalita,206601497,ME,2020,206601497@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-10-09,2021-07-16 18:23:00,,false,true
Rajendra,Chakraborty,196089241,ME,2019,196089241@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-15,2021-04-25 15:59:27,,false,true
Pravin,Vijay,217369239,EE,2021,217369239@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-03-20,2021-05-15 22:42:18,,false,true
Munna,Patra,181883619,CSE,2018,181883619@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-04-02,2019-03-01 19:54:17,,false,true
Ranjit,Giri,201818503,ME,2020,201818503@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-11-08,2020-05-30 02:54:37,,false,true
Rinku,Debnath,206157304,HS,2020,206157304@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-06-21,2019-10-16 10:45:01,,false,true
Mani,Gaikwad,171518942,EN,2017,171518942@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-05-02,2019-08-14 16:09:04,,false,true
Amar,Pathak,188819222,HS,2018,188819222@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-05-03,2019-10-09 06:46:55,,false,true
Yash,Sagar,206704632,AE,2020,206704632@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-15,2019-08-08 21:57:17,,false,true
Subhash,Uddin,158756833,EN,2015,158756833@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-02-10,2020-10-29 23:28:31,,false,true
Kishan,Agrawal,202688858,CSE,2020,202688858@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-09-04,2019-09-13 09:14:54,,false,true
Sanjeev,Ravi,203147564,HS,2020,203147564@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-09-10,2021-07-13 17:07:00,,false,true
Shyam,Negi,190829962,AE,2019,190829962@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-08-29,2020-08-16 23:41:30,,false,true
Avinash,Varma,210312364,EE,2021,210312364@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-11-29,2021-08-14 22:48:50,,false,true
Neeraj,Desai,173196744,CSE,2017,173196744@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-03-09,2019-01-04 02:26:26,,false,true
Dev,Raza,171967433,AE,2017,171967433@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-03-24,2020-05-01 14:53:40,,false,true
Khan,Nishad,163279092,EE,2016,163279092@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-06-23,2020-03-02 06:37:25,,false,true
Harsh,Kumawat,176945072,HS,2017,176945072@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-11-18,2020-06-07 22:45:12,,false,true
Vishnu,Mani,215584106,EE,2021,215584106@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-05-16,2019-09-28 11:52:24,,false,true
Shiv,Vasava,202934560,CSE,2020,202934560@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-04-16,2020-07-22 19:53:28,,false,true
Roshan,Ranjan,201639251,CSE,2020,201639251@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-01-12,2020-08-17 22:48:36,,false,true
Madhu,Shaw,170452826,ME,2017,170452826@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-07-19,2021-05-27 13:07:15,,false,true
Pavan,Krishna,218842737,EE,2021,218842737@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-04-14,2019-07-07 05:10:14,,false,true
Lucky,Chand,186077447,CSE,2018,186077447@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-06-11,2021-04-22 12:11:59,,false,true
Hari,Ji,173793559,CH,2017,173793559@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-06-11,2021-04-05 00:43:54,,false,true
Narendra,Kaur,187307315,EE,2018,187307315@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-03-05,2019-08-16 03:47:30,,false,true
Laxman,Sahani,193086946,ME,2019,193086946@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-10-10,2019-03-17 01:35:07,,false,true
Abhi,Deka,160381865,CSE,2016,160381865@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-08-11,2020-05-18 02:25:31,,false,true
Kishor,Sonu,179606806,CH,2017,179606806@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-05-27,2021-04-22 12:48:32,,false,true
Rohan,Sing,174763294,EN,2017,174763294@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-02-04,2022-01-24 08:01:29,,false,true
Gautam,Rahul,178192363,HS,2017,178192363@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-06-19,2021-11-15 02:46:51,,false,true
Himanshu,Jena,168779959,HS,2016,168779959@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-11-26,2019-05-09 03:39:00,,false,true
Saurabh,Kadam,201689410,EN,2020,201689410@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-05-03,2020-11-17 18:02:50,,false,true
Kunal,Majhi,214166012,ME,2021,214166012@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-04-06,2019-06-13 03:21:20,,false,true
Jagdish,Saikia,170098820,EE,2017,170098820@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-03-09,2021-09-09 04:17:37,,false,true
Aryan,Srivastava,170909241,CSE,2017,170909241@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-12-19,2021-03-30 22:51:37,,false,true
Syed,Suresh,219973938,AE,2021,219973938@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-12-25,2022-04-08 10:01:33,,false,true
Siva,Bhagat,156239066,AE,2015,156239066@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-12-12,2021-08-26 07:53:26,,false,true
Surendra,Vaghela,176416471,CH,2017,176416471@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-05-30,2021-07-14 23:06:19,,false,true
Sushil,Borah,212933281,CSE,2021,212933281@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-03-02,2019-08-17 22:12:21,,false,true
Ranjan,Ramesh,202092147,AE,2020,202092147@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-11-23,2021-01-30 12:56:52,,false,true
Guddu,Anand,171428144,ME,2017,171428144@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-08-19,2022-03-18 23:20:01,,false,true
Pradip,Makwana,201194890,EE,2020,201194890@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-10-12,2021-09-15 19:24:22,,false,true
Hitesh,Mallick,162135746,CH,2016,162135746@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-05-02,2020-06-15 14:07:59,,false,true
Samir,Bharti,179207934,HS,2017,179207934@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-07-29,2022-01-22 18:33:30,,false,true
Nitesh,Jat,166977948,EN,2016,166977948@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-12-20,2020-12-30 20:07:42,,false,true
Sai,Arya,179066047,CSE,2017,179066047@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-02-23,2021-09-06 19:13:33,,false,true
Irfan,Boro,178751600,AE,2017,178751600@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-08-13,2019-02-13 17:52:27,,false,true
Anuj,Raut,158618359,HS,2015,158618359@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-04-03,2019-03-02 17:51:14,,false,true
Kailash,Priya,169416891,CH,2016,169416891@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-03-19,2020-10-12 19:56:25,,false,true
Lalit,Arora,165278382,AE,2016,165278382@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-11-10,2020-02-26 05:56:57,,false,true
Bikash,Sardar,180427373,EN,2018,180427373@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-03-18,2021-06-17 10:54:18,,false,true
Ravindra,Mehra,218776354,ME,2021,218776354@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-01-07,2019-10-13 02:32:36,,false,true
Asif,Tomar,150959366,EE,2015,150959366@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-02-12,2019-09-23 16:43:46,,false,true
Atul,Garg,205708872,EE,2020,205708872@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-01-16,2019-01-14 04:39:54,,false,true
Kundan,Bhatt,194696987,EN,2019,194696987@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-11-22,2020-05-18 17:57:03,,false,true
Chetan,Swain,194004564,HS,2019,194004564@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-04-01,2021-04-18 17:14:10,,false,true
Amol,Sarma,194464685,EN,2019,194464685@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-09-25,2020-06-01 11:27:42,,false,true
Rajeev,कुमार,172573371,CH,2017,172573371@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-08,2021-12-22 08:57:24,,false,true
Hemant,Koli,203318404,CSE,2020,203318404@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-11-02,2021-12-28 18:30:42,,false,true
Kapil,Bhat,219257433,AE,2021,219257433@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-05-28,2022-03-10 17:57:45,,false,true
Lokesh,Panda,211193343,ME,2021,211193343@iitb.ac.in,1234567890,"IIT Bombay, Powai",2003-01-11,2019-11-12 17:25:22,,false,true
Saddam,Rajpoot,152192328,CSE,2015,152192328@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-11-29,2019-06-04 10:51:25,,false,true
Mayur,Upadhyay,213104148,HS,2021,213104148@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-05-20,2019-06-17 20:58:58,,false,true
Sudhir,Suthar,202934955,HS,2020,202934955@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-08-25,2020-10-04 05:53:58,,false,true
Rupesh,Halder,210646133,EN,2021,210646133@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-04-22,2021-02-27 02:19:18,,false,true
Shaikh,Bisht,196768697,EE,2019,196768697@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-09-24,2021-01-11 11:00:43,,false,true
Biswajit,Laskar,208630808,CSE,2020,208630808@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-07-15,2022-03-22 13:24:02,,false,true
Ritesh,Rajesh,168588502,EE,2016,168588502@iitb.ac.in,1234567890,"IIT Bombay, Powai",2001-06-29,2021-05-25 06:15:38,,false,true
